47.55598020 21.58825590
way way
47.55636170 21.58826890
47.55743520 21.58830560
way way
47.55743520 21.58830560
way way
47.55747250 21.58628050
way way
47.55480160 21.58821570
way way
47.55490240 21.59023370
way way
47.55496220 21.59123690
47.55502000 21.59220770
47.55507530 21.59279810
47.55510220 21.59316130
47.55509130 21.59386540
47.55509270 21.59414770
47.55511640 21.59448510
47.55519070 21.59489280
47.55525560 21.59529110
47.55530580 21.59574170
47.55538680 21.59682110
47.55540410 21.59719150
way way
47.55623020 21.59713650
47.55631430 21.59731850
47.55634870 21.59774460
way way
47.55634870 21.59774460
way way
47.55598780 21.59780430
way way
47.55567570 21.59785600
way way
47.55549000 21.59862430
47.55554380 21.59943340
47.55557870 21.60021780
47.55565200 21.60127860
47.55570520 21.60229060
47.55572840 21.60273120
47.55575390 21.60315820
47.55582990 21.60465600
way way
47.55587280 21.60547420
47.55590350 21.60605890
47.55592540 21.60647650
47.55594720 21.60664520
way way
47.55597670 21.60686870
47.55600490 21.60701060
47.55603250 21.60708320
47.55671860 21.60888360
way way
47.55733270 21.61090380
47.55722700 21.61098730
47.55713420 21.61072720
47.55696560 21.61025400
47.55682790 21.60986790
47.55646020 21.60987270
47.55640800 21.60977210
47.55643520 21.60913020
47.55662340 21.60897840
47.55664150 21.60896550
47.55671860 21.60888360
way way
47.55752870 21.61110500
47.55758500 21.61133350
47.55760620 21.61158520
47.55760340 21.61164720
47.55759890 21.61174960
way way
47.55751720 21.61213700
47.55742200 21.61242740
47.55673220 21.61363950
47.55631730 21.61429090
47.55623040 21.61442730
way way
47.56119680 21.62261580
47.56110440 21.62209130
47.56092960 21.62154760
47.56070610 21.62100130
47.56046260 21.62058690
47.56017550 21.62019680
47.55781960 21.61723610
47.55711380 21.61604730
47.55684000 21.61553880
47.55630210 21.61455890
47.55623040 21.61442730
way way
47.56122370 21.62308400
way way
47.56120790 21.63050020
47.56121180 21.62833040
47.56121500 21.62659170
47.56122160 21.62393550
47.56122220 21.62369780
way way
47.55983160 21.63064240
47.55681390 21.63062410
47.55605710 21.63063090
way way
47.55605010 21.62914590
47.55604980 21.62908860
way way
47.55611350 21.62903260
47.55616100 21.62896390
47.55618250 21.62886680
47.55618940 21.62869700
47.55620050 21.62809260
47.55616680 21.62789300
47.55597020 21.62776890
way way
47.55590210 21.62749500
47.55581670 21.62724200
47.55566400 21.62691710
47.55491450 21.62552800
47.55475390 21.62525410
47.55463250 21.62507660
47.55449650 21.62491810
47.55323370 21.62350410
47.55311700 21.62338230
47.55284370 21.62315600
47.55226840 21.62282900
47.55209140 21.62275470
47.55187020 21.62269640
47.55167590 21.62272180
way way
47.55166140 21.62254360
47.55160780 21.62237150
47.55158520 21.62223710
47.55154620 21.62204380
way way
47.55154620 21.62204380
way way
47.55142820 21.62175260
47.55139310 21.62173200
47.55134500 21.62166310
47.55132520 21.62157230
way way
47.55115500 21.62159250
47.55091970 21.62159790
47.55069880 21.62161930
47.55016610 21.62164510
47.54677110 21.62171790
47.54600500 21.62172980
47.54589060 21.62173320
47.54355510 21.62180230
47.54310830 21.62181550
47.54178540 21.62190400
47.54160080 21.62191630
47.54148740 21.62192390
way way
47.54133760 21.62192360
47.54118570 21.62192320
47.54077960 21.62192230
47.53987270 21.62194030
47.53920630 21.62195340
47.53873920 21.62196400
47.53793460 21.62200720
way way
47.53785590 21.62200730
47.53706800 21.62204300
47.53650330 21.62202990
47.53613230 21.62195870
47.53560010 21.62173750
47.53461790 21.62115790
47.53451260 21.62108860
way way
47.53441310 21.62100340
47.53426110 21.62088040
way way
47.53382820 21.62063020
47.53350980 21.62052520
47.53325350 21.62049250
47.53292700 21.62050560
47.53259690 21.62056480
47.53235630 21.62063260
47.53214650 21.62070330
47.53186190 21.62080760
47.53157760 21.62092630
47.53122940 21.62107480
47.53109500 21.62113210
way way
47.52969900 21.61498420
47.52980060 21.61569820
47.52995550 21.61664580
47.53014360 21.61748200
47.53016050 21.61755700
47.53024680 21.61795620
47.53040460 21.61865910
47.53045090 21.61885360
47.53048240 21.61899200
47.53051880 21.61912790
47.53072840 21.61991090
47.53094790 21.62066840
47.53109500 21.62113210
way way
47.52963760 21.61422670
47.52961440 21.61404450
way way
47.52957280 21.61385180
47.52950880 21.61364480
47.52943140 21.61348090
47.52935480 21.61333840
47.52930110 21.61324770
47.52926420 21.61320190
way way
47.52920980 21.61312940
47.52919260 21.61310720
way way
47.52911340 21.61301560
47.52883040 21.61271950
way way
47.52878890 21.61267940
47.52871070 21.61262310
way way
47.52857030 21.61275620
way way
47.52866670 21.61299330
way way
47.52879590 21.61331290
47.52881880 21.61340390
47.52883080 21.61347480
47.52883190 21.61360770
way way
47.52874740 21.61371000
47.52793880 21.61467510
47.52607900 21.61684600
47.52603190 21.61690100
47.52594680 21.61700030
way way
47.52600500 21.61715010
way way
47.52607220 21.61733300
47.52609040 21.61738250
47.52628030 21.61789940
way way
47.52633330 21.61803030
47.52637300 21.61812830
47.52666130 21.61890010
way way
47.52696240 21.61974090
47.52722170 21.62033850
47.52740390 21.62075810
47.52750080 21.62097560
47.52760630 21.62120030
47.52792670 21.62188930
47.52818530 21.62257680
47.52846480 21.62345000
47.52855460 21.62378560
47.52868000 21.62425460
47.52885950 21.62501650
47.52887260 21.62512300
47.52889760 21.62532540
way way
47.52869120 21.62540980
47.52737430 21.62595260
47.52727030 21.62598670
47.52717250 21.62601870
47.52668550 21.62622430
47.52648590 21.62629410
47.52625670 21.62635550
way way
47.52617750 21.62637660
47.52607120 21.62640510
47.52471830 21.62658360
47.52452620 21.62658840
